NCBI_taxonomy_name,fmin,fmax
Klebsiella pneumoniae,82,958
Klebsiella pneumoniae,161,1022
Klebsiella oxytoca,0,453
Streptomyces sp.,35585,36821
Serratia marcescens,0,885
Escherichia coli,6017,7166
Enterococcus casseliflavus,3535,4441
Citrobacter freundii,0,681
Pseudomonas fluorescens,531,1074
Aeromonas jandaei,0,765
Pseudomonas putida,155,896
Acinetobacter bereziniae,1099,1930
Acinetobacter baumannii,0,825
Acinetobacter baumannii,115,937
Klebsiella pneumoniae,0,861
Escherichia coli,56,848
Enterobacter cloacae,58200,58833
Klebsiella pneumoniae,0,846
Escherichia coli,4903688,4905062
Acinetobacter baumannii,0,3180
Staphylococcus aureus,735416,735860
Acinetobacter baumannii,0,861
Pseudomonas aeruginosa,1199,1751
Salmonella enterica,105,603
Micromonospora griseorubida,409,1297
Staphylococcus haemolyticus,0,1569
Acinetobacter baumannii,0,831
Klebsiella pneumoniae,0,861
Klebsiella pneumoniae,0,882
Acinetobacter baumannii,20,845
Enterococcus faecium,559,1591
Escherichia coli,0,801
Micrococcus sp.,686,1973
Bhargavaea cecembensis,1966,3343
Escherichia coli,0,1218
Streptomyces laurentii,345,1158
Citrobacter freundii,0,1146
Pseudomonas aeruginosa,1010,1811
Escherichia coli,1199,1619
Streptomyces lividans,507,1686
Enterococcus faecalis,177,840
Pseudomonas aeruginosa,1827,2568
Aeromonas caviae,3181,3922
Escherichia coli,208,1069
Pseudomonas aeruginosa,1671,2124
Prevotella intermedia,71,1037
Klebsiella pneumoniae,0,876
Klebsiella pneumoniae,0,1146
Pseudomonas aeruginosa,5071,5812
Shewanella algae,0,657
Morganella morganii,0,1140
Acinetobacter baumannii,0,864
Staphylococcus aureus,1360280,1361636
Acinetobacter baumannii,775,1861
Brucella anthropi,1971,3144
Escherichia coli,2676,3474
Aeromonas sobria,180,975
Acinetobacter calcoaceticus,0,822
Klebsiella pneumoniae,0,861
Klebsiella pneumoniae,0,876
Acinetobacter nosocomialis,0,822
Shewanella xiamenensis,4038,4836
Klebsiella pneumoniae,22,898
Escherichia coli,0,861
Klebsiella pneumoniae,0,861
Escherichia coli,0,876
Escherichia coli,0,876
Salmonella enterica,214,1075
Serratia marcescens,153,1290
Enterobacter cloacae,2,458
Brucella anthropi,0,1173
Klebsiella pneumoniae,0,861
Klebsiella oxytoca,181,1054
Pseudomonas aeruginosa,0,801
Escherichia coli,230,1256
Streptomyces wedmorensis,6575,7376
Acinetobacter baumannii,0,864
Citrobacter freundii,1039,2185
Pseudomonas aeruginosa,1434,2439
Klebsiella pneumoniae,0,861
Escherichia coli,0,861
Acinetobacter baumannii,0,828
Klebsiella pneumoniae,71,932
Bacillus licheniformis,2064,2676
Klebsiella variicola,2782791,2783652
Escherichia coli,91163,91823
Klebsiella pneumoniae,18,879
Proteus mirabilis,0,861
Citrobacter freundii,0,1146
Klebsiella pneumoniae,1329,2193
Enterobacter cloacae,88,1234
Escherichia coli,1505,2381
Acinetobacter baumannii,434,1259
Klebsiella pneumoniae,0,861
Salmonella enterica,2039654,2040377
Acinetobacter baumannii,0,822
Acinetobacter baumannii,0,825
Aeromonas hydrophila,923,1688
Klebsiella pneumoniae,0,861
Klebsiella pneumoniae,0,657
Klebsiella pneumoniae,4140,4938
Enterobacter cloacae,748,1894
Klebsiella pneumoniae,71,932
Acinetobacter baumannii,0,825
Enterobacter cloacae,0,1146
Klebsiella pneumoniae,0,858
Klebsiella pneumoniae,0,825
Klebsiella pneumoniae,0,861
uncultured bacterium,3337,4597
Escherichia coli,0,876
Escherichia coli,213,1074
Klebsiella pneumoniae,0,861
Streptomyces ambofaciens,2816,3665
Campylobacter jejuni,295,1048
Legionella pneumophila,0,996
Acinetobacter baumannii,0,825
Escherichia coli,160,1306
Enterobacter cloacae,238,1384
Acinetobacter baumannii,0,825
Streptomyces fradiae,159,1035
Citrobacter sp.,63,1209
Pseudomonas aeruginosa,0,801
Escherichia coli,82,640
Enterococcus faecalis,7908,9393
Enterobacter cloacae,0,861
Citrobacter freundii,0,681
Burkholderia pseudomallei,0,810
uncultured organism,797,1793
Klebsiella pneumoniae,612,1761
Klebsiella pneumoniae,0,861
Proteus mirabilis,0,1143
Citrobacter freundii,36,681
Acinetobacter baumannii,0,900
Acinetobacter baumannii,0,825
Klebsiella pneumoniae,0,861
Escherichia coli,0,861
Aeromonas veronii,125,893
Shigella sp.,2,863
Klebsiella pneumoniae,0,846
Escherichia coli,0,1146
Enterobacter cloacae,174,1050
Citrobacter freundii,548,1694
Stenotrophomonas maltophilia,81,1266
Proteus mirabilis,177,1038
Klebsiella pneumoniae,0,858
Proteus mirabilis,450,1311
Escherichia coli,0,1146
Fusobacterium nucleatum,0,765
Enterococcus faecium,2716,3331
Serratia marcescens,103017,103833
Capnocytophaga ochracea,0,861
Klebsiella pneumoniae,0,861
Bacteroides fragilis,0,966
Pseudomonas aeruginosa,1287,2085
Enterobacter cloacae,0,801
Citrobacter freundii,0,1131
Pseudomonas aeruginosa,100,502
Escherichia coli,296,1442
Escherichia coli,0,861
Clostridium perfringens,261,1035
Chryseobacterium indologenes,56,788
Streptomyces bikiniensis,22652,23495
Klebsiella pneumoniae,91,952
Escherichia coli,249,1125
Citrobacter freundii,0,1146
Citrobacter freundii,0,1146
Klebsiella pneumoniae,30,891
Chryseobacterium indologenes,0,732
Acinetobacter baumannii,0,822
Acinetobacter baumannii,2913,3741
Escherichia coli,144,1005
Klebsiella pneumoniae,1512,2652
Escherichia coli,0,876
Escherichia coli,208,1069
Acinetobacter calcoaceticus,0,822
Acinetobacter baumannii,0,822
Klebsiella oxytoca,0,876
Corynebacterium sp.,3095,3995
Citrobacter freundii,586,1231
Klebsiella pneumoniae,0,861
Pseudomonas aeruginosa,2813193,2814612
Rhodococcus fascians,992,2168
Acinetobacter baumannii,0,822
Escherichia coli,0,864
Flavobacterium johnsoniae,442,1189
Paenibacillus popilliae,1511,2207
Aeromonas sobria,0,1149
Fluoribacter gormanii,0,849
Klebsiella pneumoniae,135,1011
Pseudomonas aeruginosa,100,841
Escherichia coli,0,861
Enterococcus faecalis,7030,7795
Vibrio parahaemolyticus,1250264,1251203
Pseudomonas aeruginosa,145,1315
Acinetobacter baumannii,2063742,2065140
Klebsiella oxytoca,0,876
Klebsiella pneumoniae,0,813
Citrobacter freundii,1027,2173
Pseudomonas aeruginosa,1484,2225
Stenotrophomonas maltophilia,1037,2441
Pseudomonas aeruginosa,753,1584
Klebsiella pneumoniae,0,873
Bacillus licheniformis,297,1218
Citrobacter freundii,0,681
Klebsiella oxytoca,183,1050
Enterococcus faecalis,954,2004
Bacillus subtilis,1376854,1377172
Klebsiella pneumoniae,1383,2244
Pseudomonas aeruginosa,0,1194
Proteus mirabilis,0,645
Citrobacter freundii,0,681
Streptomyces lincolnensis,360,1197
Pseudomonas aeruginosa,0,801
Klebsiella pneumoniae,0,645
Escherichia coli,166,1027
Salmonella enterica,3541,3979
Acinetobacter schindleri,0,831
Salmonella enterica,793,1708
Proteus mirabilis,114,975
Citrobacter braakii,1026,2172
Escherichia coli,0,861
Escherichia coli,2320,3196
Acinetobacter baumannii,3332,4229
Escherichia coli,0,861
Escherichia coli,0,861
Staphylococcus aureus,0,1545
Enterobacter cloacae,13,1159
Klebsiella pneumoniae,0,780
Escherichia coli,1124117,1125326
Streptococcus agalactiae,0,495
Staphylococcus aureus,839,2195
Escherichia coli,0,861
Acinetobacter baumannii,0,825
Klebsiella pneumoniae,0,876
Salmonella enterica,0,657
Citrobacter braakii,2303,2948
Enterococcus casseliflavus,0,906
Pseudomonas aeruginosa,1478,2279
Klebsiella variicola,7354,8215
Escherichia coli,2154015,2155263
Citrobacter braakii,0,645
Pseudomonas aeruginosa,2948,3749
Aeromonas sobria,0,657
Acinetobacter baumannii,0,825
Escherichia coli,8531,9323
Acinetobacter calcoaceticus,0,822
Klebsiella pneumoniae,210,1071
Enterobacter asburiae,0,1146
Pseudomonas aeruginosa,0,1194
Enterobacter cloacae,700,1846
Salmonella enterica,710,1220
Acinetobacter baumannii,0,825
Acinetobacter baumannii,0,825
Escherichia coli,1994,3155
Acinetobacter calcoaceticus,0,822
Acinetobacter baumannii,44,869
Pseudomonas aeruginosa,352,1171
Citrobacter freundii,0,648
Acinetobacter baumannii,0,825
Acinetobacter baumannii,0,825
Acinetobacter baumannii,14,839
Escherichia coli,50304,51165
Klebsiella pneumoniae,5374,6172
Pantoea agglomerans,0,681
Acinetobacter calcoaceticus,0,822
Shewanella livingstonensis,0,750
Escherichia coli,0,876
Pseudomonas aeruginosa,214,1075
Klebsiella pneumoniae,0,1149
Morganella morganii,0,1140
Klebsiella pneumoniae,0,861
Haemophilus parainfluenzae,0,861
Bacillus subtilis,2735681,2736536
Brucella anthropi,0,1173
Klebsiella oxytoca,311,1184
Salmonella enterica,397057,398284
Acinetobacter baumannii,0,825
Enterobacter cloacae,539,1685
Klebsiella pneumoniae,67,928
Klebsiella pneumoniae,0,861
Klebsiella oxytoca,185,1058
Klebsiella pneumoniae,4,865
Pseudomonas putida,0,801
Klebsiella pneumoniae,0,861
Shewanella oneidensis,0,798
Klebsiella pneumoniae,0,861
Enterobacter cloacae,0,519
Klebsiella pneumoniae,213,1071
Salmonella enterica,811,1444
Klebsiella pneumoniae,4,865
Staphylococcus aureus,1012,1510
Klebsiella pneumoniae,14,875
Acinetobacter baumannii,0,825
uncultured bacterium,27458,28439
Aeromonas caviae,2004,2661
Neisseria gonorrhoeae,259,1663
Klebsiella pneumoniae,14,896
Enterococcus gallinarum,1410,2442
Acinetobacter baumannii,0,744
Acinetobacter baumannii,38,863
Escherichia coli,0,876
Escherichia coli,0,1143
Pseudomonas aeruginosa,939,1740
Citrobacter freundii,0,876
Escherichia coli,3585,4398
Kluyvera ascorbata,5548,6424
Pseudomonas aeruginosa,121,1036
Mycobacterium tuberculosis,2231679,2232219
Klebsiella pneumoniae,413,1274
Pseudomonas aeruginosa,1036,1867
Escherichia coli,205,1066
Escherichia coli,0,861
Listeria monocytogenes,93,582
Acinetobacter baumannii,0,825
Burkholderia pseudomallei,2147817,2150949
Clostridium perfringens,0,624
Plasmid pWP113a,185,1046
Pseudomonas aeruginosa,1122,1863
Pseudomonas aeruginosa,2689,3553
Pseudomonas aeruginosa,87,888
Klebsiella pneumoniae,285,1125
Escherichia coli,4477,5341
Citrobacter freundii,0,681
Acinetobacter baumannii,0,861
Pseudomonas aeruginosa,472023,473175
Gram-negative bacterium,0,1206
IncQ plasmid,1679,2855
Streptomyces fradiae,1787,2630
Salmonella enterica,179218,179845
Mycolicibacterium fortuitum,1273,2158
uncultured bacterium,4186,5086
Klebsiella aerogenes,2641,3871
Neisseria gonorrhoeae,0,1935
Klebsiella pneumoniae,0,861
Salmonella enterica,213,1074
Myroides odoratus,260,1007
Pseudomonas aeruginosa,4710620,4712084
Salmonella enterica,0,927
Escherichia coli,208,1069
Klebsiella pneumoniae,395,1271
Escherichia coli,0,1146
Enterococcus faecalis,4730,5426
Butyrivibrio fibrisolvens,3686,5606
Klebsiella pneumoniae,0,882
Acinetobacter baumannii,0,825
Citrobacter freundii,0,681
Acinetobacter baumannii,0,843
Streptomyces fradiae,465,1326
Aeromonas media,1790,2582
Escherichia coli,0,876
Klebsiella pneumoniae,0,861
Acinetobacter baumannii,0,741
Yersinia enterocolitica,22365,24057
Clostridium perfringens,1062,2325
Klebsiella pneumoniae,700,1849
Escherichia coli,6335,7211
Plasmid pAZ1,0,489
Escherichia coli,98,974
Vibrio parahaemolyticus,0,852
Klebsiella variicola,3395,4256
Providencia stuartii,0,813
Salmonella enterica,2732,3377
Klebsiella pneumoniae,259,1060
Acinetobacter baumannii,34,859
Acinetobacter baumannii,1959577,1960402
Salmonella enterica,53,512
Escherichia coli,3640,4786
Enterobacter asburiae,0,1146
Klebsiella pneumoniae,148,1009
Brucella anthropi,1070,2243
Klebsiella pneumoniae,0,861
Pseudomonas aeruginosa,127,928
Escherichia coli,82,958
Psychrobacter maritimus,2461,3358
Escherichia coli,181,1042
Acinetobacter baumannii,0,825
Citrobacter freundii,0,681
Escherichia coli,1591,3130
Klebsiella pneumoniae,0,861
Acinetobacter baumannii,0,1452
Escherichia coli,214,1075
Acinetobacter variabilis,0,441
Acinetobacter baumannii,37,901
Escherichia coli,213,1158
Klebsiella pneumoniae,392,845
Escherichia coli,0,681
Klebsiella pneumoniae,206,1067
Citrobacter freundii,1026,2172
Escherichia coli,351,1227
Citrobacter freundii,0,645
Klebsiella oxytoca,0,801
Enterobacter cloacae,0,786
Acinetobacter radioresistens,822,1644
Klebsiella pneumoniae,120,978
Staphylococcus aureus,28,1573
Acinetobacter baumannii,0,825
Klebsiella pneumoniae,0,861
Proteus mirabilis,211,1069
Klebsiella pneumoniae,17,878
Pseudomonas fluorescens,356,1097
Klebsiella pneumoniae,0,861
Pseudomonas aeruginosa,672,1500
Proteus mirabilis,0,876
Proteus mirabilis,303,1179
Acinetobacter bereziniae,99,930
Bacillus amyloliquefaciens,539695,540745
Brachyspira pilosicoli,88,898
Brachyspira pilosicoli,88,898
Plasmid R,756,1314
Pseudomonas aeruginosa,554,1085
Enterobacter asburiae,0,1146
Citrobacter freundii,0,645
Klebsiella pneumoniae,73,934
Staphylococcus aureus,908,2477
Klebsiella pneumoniae,0,861
Escherichia coli,433,1078
Klebsiella pneumoniae,0,1149
Klebsiella pneumoniae,0,900
Salmonella enterica,46,838
Escherichia coli,0,813
Pseudomonas aeruginosa,0,801
Proteus mirabilis,208,1069
Klebsiella pneumoniae,0,861
Escherichia coli,0,861
Chryseobacterium indologenes,291,1011
Escherichia coli,232,1108
Bacillus subtilis,112069,113503
Acinetobacter baumannii,1249018,1249348
Citrobacter freundii,0,681
Klebsiella pneumoniae,30,891
Mannheimia haemolytica,220,1138
Escherichia coli,1351,1825
Klebsiella pneumoniae,0,861
Klebsiella pneumoniae,0,1146
Pasteurella multocida,1303,1813
Pseudomonas aeruginosa,0,801
Escherichia coli,1191727,1192954
Acinetobacter baumannii,15,840
Acinetobacter baumannii,62,905
Enterobacter asburiae,0,879
Escherichia coli,0,861
Acinetobacter lwoffii,0,831
Escherichia coli,536,1592
Klebsiella pneumoniae,0,858
Acinetobacter calcoaceticus,0,822
Pseudomonas aeruginosa,0,1194
Proteus mirabilis,0,900
Shewanella frigidimarina,0,735
Acinetobacter johnsonii,0,825
Escherichia coli,0,813
Pseudomonas aeruginosa,1270,2071
Enterococcus faecalis,173,1355
Enterobacter cloacae,48,909
Proteus mirabilis,0,831
Bacteroides fragilis,1181,1982
Enterobacter cloacae,0,1140
Acinetobacter baumannii,0,825
Klebsiella pneumoniae,0,681
Pseudomonas aeruginosa,732,1365
Pseudomonas aeruginosa,0,801
Acinetobacter baumannii,2434,5611
Klebsiella pneumoniae,0,858
Acinetobacter bereziniae,0,831
Stenotrophomonas maltophilia,4493,5894
Acinetobacter calcoaceticus,0,822
Escherichia coli,1007,2153
Klebsiella oxytoca,0,873
Enterobacter cloacae,0,1140
Vibrio cholerae,95,962
Pasteurella multocida,336788,337580
Klebsiella oxytoca,94,967
Klebsiella oxytoca,0,873
Staphylococcus aureus,40848,42606
Acinetobacter calcoaceticus,0,822
Proteus mirabilis,188,1022
Klebsiella pneumoniae,1329,2193
Acinetobacter baumannii,575,1400
Escherichia coli,80976,81768
Kitasatospora aureofaciens,0,1539
Escherichia coli,220,763
Aeromonas salmonicida,1650,2883
Escherichia coli,4338624,4340268
Clostridium butyricum,0,660
Streptomyces rimosus,492,1359
Escherichia coli,302,854
Achromobacter xylosoxidans,0,828
Acinetobacter baumannii,0,825
Escherichia coli,3412802,3413465
Enterococcus faecalis,2358,3165
Enterococcus faecalis,40765,41347
Enterococcus faecalis,2211932,2212277
Klebsiella pneumoniae,28,889
Citrobacter sp.,0,1146
Pseudomonas aeruginosa,100,502
Klebsiella pneumoniae,0,801
Acinetobacter haemolyticus,66,927
Enterobacter cloacae,751,1897
Escherichia coli,0,1146
Morganella morganii,197,1058
Escherichia coli,0,876
Klebsiella pneumoniae,27,1173
Escherichia coli,9,885
Enterobacter cloacae,0,1146
Chryseobacterium indologenes,0,720
Escherichia coli,0,876
Escherichia coli,0,1146
Pseudomonas aeruginosa,0,741
Pseudomonas aeruginosa,127,955
Acinetobacter baumannii,21,849
Acinetobacter baumannii,351,792
Acinetobacter baumannii,0,822
Pseudomonas aeruginosa,0,1194
Klebsiella pneumoniae,0,861
Escherichia coli,0,1152
Klebsiella oxytoca,208,1069
Salmonella enterica,0,657
Citrobacter freundii,1027,2173
Klebsiella pneumoniae,0,861
Acinetobacter sp.,0,822
Klebsiella pneumoniae,2126,2924
Micromonospora chalcea,281,1076
Klebsiella pneumoniae,4619,5768
Escherichia coli,238,1114
uncultured bacterium,1582,2407
Proteus mirabilis,0,861
Ralstonia pickettii,951,1776
Escherichia coli,206,1079
Citrobacter freundii,1034,2180
Staphylococcus warneri,10027,11077
Pasteurella multocida,0,906
Pseudomonas aeruginosa,0,858
Klebsiella pneumoniae,0,657
Enterobacter cloacae,0,1146
Escherichia coli,0,861
Escherichia coli,244,1120
Streptomyces venezuelae,27,1338
Citrobacter freundii,0,1146
Streptomyces hygroscopicus,231,1230
Pseudomonas aeruginosa,1172,2084
Klebsiella pneumoniae,81,957
Pseudomonas aeruginosa,0,858
uncultured bacterium,624,861
Klebsiella pneumoniae,0,861
Pasteurella multocida,3524,4157
Klebsiella pneumoniae,0,876
Escherichia coli,716,953
Pseudomonas aeruginosa,0,1194
Citrobacter freundii,36,681
Escherichia coli,0,876
uncultured bacterium,107,1025
Escherichia coli,0,1140
Bacillus cereus,272,1193
Pseudomonas aeruginosa,1345,2146
Klebsiella pneumoniae,30,891
Acinetobacter genomosp.,259,700
Acinetobacter baumannii,701,1565
Staphylococcus aureus,9682,10528
Streptomyces fradiae,459,1419
Klebsiella pneumoniae,1,754
Citrobacter amalonaticus,273,1149
Pseudomonas aeruginosa,61,643
Acinetobacter baumannii,16,754
Acinetobacter baumannii,0,831
Klebsiella pneumoniae,0,813
Escherichia coli,208,1069
Pseudomonas aeruginosa,1188,1641
Pseudomonas aeruginosa,1934,2486
uncultured bacterium,24321,25482
Escherichia coli,0,645
Phocaeicola vulgatus,149,1115
Salmonella enterica,706,1183
Escherichia coli,1956,2409
Escherichia coli,0,1146
Mycolicibacterium fortuitum,264,852
Shewanella algae,0,657
Campylobacter jejuni,1406494,1409617
Enterococcus faecalis,0,861
Klebsiella pneumoniae,0,861
Enterobacter cloacae,0,861
Klebsiella pneumoniae,81,957
Escherichia coli,2,854
Citrobacter freundii,1026,2172
Pseudomonas aeruginosa,3012,3801
Brucella anthropi,0,1173
Escherichia coli,339,1200
Pseudomonas aeruginosa,608,1472
Escherichia coli,0,876
Escherichia coli,0,1149
Enterobacter cloacae,0,645
Escherichia coli,0,861
Acinetobacter pittii,0,828
Klebsiella pneumoniae,6,867
Klebsiella pneumoniae,0,882
Escherichia coli,170,1031
Escherichia coli,0,1146
Klebsiella pneumoniae,1,472
Brucella anthropi,0,1173
Citrobacter freundii,0,1146
Klebsiella pneumoniae,2406,3219
Pseudomonas aeruginosa,0,741
Acinetobacter calcoaceticus,0,822
Vibrio cholerae,2072,2939
Citrobacter freundii,0,645
Brachyspira pilosicoli,703,1510
Acinetobacter sp.,0,441
Klebsiella oxytoca,131,1001
Salmonella enterica,6742,7303
Klebsiella oxytoca,111,972
Pseudomonas aeruginosa,2034,2775
Escherichia coli,0,1146
Klebsiella pneumoniae,54,915
Klebsiella oxytoca,348,1224
Klebsiella oxytoca,27225,27966
Acinetobacter calcoaceticus,0,822
Rhodococcus hoagii,279,1719
Escherichia coli,0,861
Campylobacter jejuni,4218,5697
Providencia sp.,0,876
Escherichia coli,80,956
Mycobacterium tuberculosis,3773015,3773567
Shewanella algae,0,657
Aeromonas allosaccharophila,130,895
Clostridium perfringens,2308,4267
Klebsiella pneumoniae,0,858
Klebsiella pneumoniae,0,861
Escherichia coli,5269,6130
Enterococcus faecium,126,930
Staphylococcus aureus,35680,37678
Pseudomonas aeruginosa,5364070,5364736
Pseudomonas aeruginosa,294,1458
Pseudomonas aeruginosa,4622,6062
Enterobacter kobei,100,961
Klebsiella aerogenes,250,1399
Acinetobacter baumannii,0,825
Proteus mirabilis,193,1054
Enterococcus faecium,3975,4671
Serratia marcescens,0,843
Elizabethkingia meningoseptica,242,1115
Pseudomonas aeruginosa,60,888
Escherichia coli,0,876
Klebsiella pneumoniae,0,861
Klebsiella sp.,4,880
Escherichia coli,2155262,2158385
Salmonella enterica,553,1198
Enterococcus faecium,5900,6932
Klebsiella pneumoniae,0,780
Rhodococcus hoagii,490,1543
uncultured bacterium,0,327
Bacteroides fragilis,585,1752
Raoultella terrigena,0,645
Escherichia coli,208,1069
Morganella morganii,0,1140
Klebsiella pneumoniae,0,861
Klebsiella pneumoniae,0,861
Klebsiella pneumoniae,0,861
Parabacteroides distasonis,27,993
Escherichia coli,951,1368
Plasmid RP4,778,1594
Klebsiella pneumoniae,0,861
Enterococcus faecium,3036,3687
Escherichia coli,244,1120
Escherichia coli,0,1134
Escherichia coli,0,1143
Escherichia coli,1740,2616
Citrobacter freundii,0,681
Citrobacter freundii,0,1146
Escherichia coli,0,861
Proteus mirabilis,0,1140
Shigella sp.,1,862
Klebsiella pneumoniae,0,861
Acinetobacter nosocomialis,1594,2419
Acinetobacter baumannii,21,849
Citrobacter freundii,0,681
Acinetobacter baumannii,1195,2023
Escherichia coli,1267,2413
Escherichia coli,0,861
Staphylococcus aureus,379931,380351
Legionella longbeachae,3537848,3539018
Chryseobacterium indologenes,7,727
Pseudomonas aeruginosa,0,843
Acinetobacter haemolyticus,0,828
Pseudomonas aeruginosa,1043,1784
Acinetobacter baumannii,5756,6683
Escherichia coli,0,1143
Klebsiella pneumoniae,0,798
Acinetobacter baumannii,4628,7736
Acinetobacter baumannii,0,825
Salmonella enterica,986,2126
Escherichia coli,4153663,4154296
Staphylococcus cohnii,1306,1945
Klebsiella pneumoniae,0,882
Salmonella enterica,7003,7573
Stenotrophomonas maltophilia,1278,4401
Klebsiella pneumoniae,0,813
Escherichia coli,0,876
Escherichia coli,0,861
Streptomyces glaucescens,381,1305
Staphylococcus epidermidis,779,1514
uncultured bacterium,3570,4455
Klebsiella pneumoniae,0,876
Escherichia coli,103,964
Chryseobacterium indologenes,18,738
Klebsiella pneumoniae,0,861
Micrococcus luteus,0,846
Citrobacter braakii,1026,2172
Klebsiella pneumoniae,1,727
Citrobacter freundii,35,680
Escherichia coli,484,1285
Citrobacter freundii,0,1146
Klebsiella pneumoniae,0,864
Providencia rettgeri,2530,3406
Acinetobacter baumannii,27,852
Pseudomonas aeruginosa,0,900
Acinetobacter baumannii,8,833
Pseudomonas aeruginosa,111,894
Acinetobacter baumannii,0,825
Campylobacter coli,43007,43928
Escherichia coli,116479,117235
Escherichia coli,0,876
Vibrio parahaemolyticus,1728735,1729668
Mammaliicoccus lentus,176,1604
Escherichia coli,0,876
Pseudomonas aeruginosa,79,883
Escherichia coli,0,1146
Klebsiella variicola,2841996,2842857
Klebsiella oxytoca,0,876
Exiguobacterium sp.,60996,61860
Klebsiella pneumoniae,0,861
Pseudomonas aeruginosa,1,739
Klebsiella pneumoniae,0,861
Escherichia coli,0,861
Pseudomonas aeruginosa,284,1211
Escherichia coli,205,1066
Klebsiella pneumoniae,19,880
Proteus mirabilis,90,891
Serratia marcescens,655,1465
Klebsiella pneumoniae,0,882
Acinetobacter baumannii,14,839
Streptomyces thermotolerans,0,1656
uncultured bacterium,1123,1987
Staphylococcus aureus,48893,49265
Acinetobacter baumannii,0,825
Pseudomonas aeruginosa,372,1236
Klebsiella pneumoniae,0,861
Klebsiella pneumoniae,2081,2822
Acinetobacter baumannii,0,825
Klebsiella pneumoniae,0,861
Acinetobacter baumannii,0,825
Citrobacter braakii,0,645
Shigella sp.,0,876
Escherichia coli,75,936
Klebsiella pneumoniae,1331,2195
Acinetobacter baumannii,0,822
Bacillus licheniformis,1317,1944
Citrobacter freundii,36,681
Acinetobacter baumannii,0,825
Kluyvera ascorbata,1911,2787
